DD:MM:YYYY,hh:mm:ss,°C,n/a,n/a,n/a,n/a,n/a
Date,Time,Zone:0.valueAirSensor,Zone:0.stateDoor,Zone:1.stateDoor,Zone:0.stateDoorAlarm,Zone:1.stateDoorAlarm,Zone:0.valueLightDimLevel
16.03.2020,11:15:59,17.9,1,0,1,0,0
16.03.2020,11:16:01,17.9,1,0,1,0,0
16.03.2020,11:16:03,17.9,1,0,1,0,0
16.03.2020,11:16:04,17.9,1,0,1,0,100
16.03.2020,11:16:06,17.9,1,1,1,0,100
16.03.2020,11:16:08,17.9,1,1,1,1,100
16.03.2020,11:16:09,17.9,1,1,1,1,0
16.03.2020,11:16:11,17.9,1,1,1,1,0
16.03.2020,11:16:13,17.9,1,1,1,1,0
16.03.2020,11:16:15,17.9,1,1,1,1,0
16.03.2020,11:16:16,17.9,1,0,1,1,100
16.03.2020,11:16:18,17.9,1,0,1,0,100
16.03.2020,11:16:20,17.9,1,0,1,0,100
16.03.2020,11:16:21,17.9,1,0,1,0,0
16.03.2020,11:16:23,17.8,1,0,1,0,0
16.03.2020,11:16:25,17.9,1,1,1,1,0
16.03.2020,11:16:26,17.9,1,1,1,1,100
16.03.2020,11:16:28,17.9,1,1,1,1,100
16.03.2020,11:16:30,17.9,1,1,1,1,100
16.03.2020,11:16:32,17.9,1,1,1,1,100
16.03.2020,11:16:33,17.9,1,1,1,1,0
16.03.2020,11:16:35,17.9,1,0,1,0,0
16.03.2020,11:16:37,17.9,1,0,1,0,0
16.03.2020,11:16:38,17.9,1,0,1,0,100
16.03.2020,11:16:40,17.9,1,0,1,0,100
16.03.2020,11:16:42,17.9,1,0,1,0,100
16.03.2020,11:16:44,17.9,1,0,1,0,100
16.03.2020,11:16:45,17.9,1,0,1,0,0
16.03.2020,11:16:47,17.9,1,0,1,0,0
16.03.2020,11:16:49,17.9,1,0,1,0,0
16.03.2020,11:16:50,17.9,1,0,1,0,100
16.03.2020,11:16:52,17.9,1,0,1,0,100
16.03.2020,11:16:54,17.9,1,0,1,0,100
16.03.2020,11:16:55,17.9,1,0,1,0,0
16.03.2020,11:16:57,17.9,1,0,1,0,0
16.03.2020,11:16:59,17.9,1,0,1,0,0
16.03.2020,11:17:01,17.9,1,0,1,0,0
16.03.2020,11:17:02,17.9,1,0,1,0,100
16.03.2020,11:17:04,17.9,1,0,1,0,100
16.03.2020,11:17:06,17.9,1,0,1,0,100
16.03.2020,11:17:07,17.9,1,0,1,0,0
16.03.2020,11:17:09,17.9,1,0,1,0,0
16.03.2020,11:17:11,17.9,1,0,1,0,0
16.03.2020,11:17:13,17.9,1,0,1,0,0
16.03.2020,11:17:14,17.9,1,0,1,0,100
16.03.2020,11:17:16,17.9,1,0,1,0,100
