DD:MM:YYYY,hh:mm:ss,�C,�C,n/a
Date,Time,TemperatureSensor:0.tempValue,TemperatureSensor:1.tempValue,OpenCloseSensor:0.stateOpenClose
18.03.2020,11:02:48,0,9,0
18.03.2020,11:02:49,0,9,0
18.03.2020,11:02:50,0,9,0
18.03.2020,11:02:51,0,9,0
18.03.2020,11:02:52,0,9,0
18.03.2020,11:02:53,0,9,0
18.03.2020,11:02:54,0,9,0
18.03.2020,11:02:55,0,9,0
18.03.2020,11:02:56,0,9,0
18.03.2020,11:02:57,0,9,0
18.03.2020,11:02:58,41.12,9,0
18.03.2020,11:02:59,41.12,9,0
18.03.2020,11:03:00,41.12,9,0
18.03.2020,11:03:01,41.12,9,0
18.03.2020,11:03:02,41.12,9,0
18.03.2020,11:03:03,41.12,9,0
18.03.2020,11:03:04,41.12,9,0
18.03.2020,11:03:05,41.12,9,0
18.03.2020,11:03:06,41.12,9,0
18.03.2020,11:03:07,41.12,9,0
18.03.2020,11:03:08,41.12,9,0
18.03.2020,11:03:09,41.12,9,0
18.03.2020,11:03:10,41.12,9,0
18.03.2020,11:03:11,41.12,9,0
18.03.2020,11:03:12,41.12,9,0
18.03.2020,11:03:13,41.12,9,0
18.03.2020,11:03:14,41.12,9,0
18.03.2020,11:03:15,41.12,9,0
18.03.2020,11:03:16,41.12,9,0
18.03.2020,11:03:17,41.12,9,0
18.03.2020,11:03:18,41.12,9,0
18.03.2020,11:03:19,41.12,9,0
18.03.2020,11:03:20,41.12,9,0
18.03.2020,11:03:21,41.12,9,0
18.03.2020,11:03:22,41.12,9,0
18.03.2020,11:03:23,41.12,9,0
18.03.2020,11:03:24,41.12,9,0
18.03.2020,11:03:25,41.12,9,0
18.03.2020,11:03:26,41.12,9,0
18.03.2020,11:03:27,41.12,9,0
18.03.2020,11:03:28,41.12,9,0
18.03.2020,11:03:29,41.12,9,0
18.03.2020,11:03:30,41.12,9,0
18.03.2020,11:03:31,41.12,9,0
18.03.2020,11:03:32,41.12,9,0
18.03.2020,11:03:33,41.12,9,0
18.03.2020,11:03:34,41.12,9,0
18.03.2020,11:03:35,41.12,9,0
18.03.2020,11:03:36,41.12,9,0
18.03.2020,11:03:37,41.12,9,0
18.03.2020,11:03:38,41.12,9,0
18.03.2020,11:03:39,41.12,9,0
18.03.2020,11:03:40,41.12,9,0
18.03.2020,11:03:41,41.12,9,0
18.03.2020,11:03:42,41.12,9,0
18.03.2020,11:03:43,41.12,9,0
18.03.2020,11:03:44,41.12,9,0
18.03.2020,11:03:45,41.12,9,0
18.03.2020,11:03:46,41.12,9,0
18.03.2020,11:03:47,41.12,9,0
18.03.2020,11:03:48,41.12,9,0
18.03.2020,11:03:49,41.24,9,0
18.03.2020,11:03:50,41.24,9,0
18.03.2020,11:03:51,41.24,9,0
18.03.2020,11:03:52,41.24,9,0
18.03.2020,11:03:53,41.24,9,0
18.03.2020,11:03:54,41.24,9,0
18.03.2020,11:03:55,41.14,9,0
18.03.2020,11:03:56,41.14,9,0
18.03.2020,11:03:57,41.14,9,0
18.03.2020,11:03:58,41.14,9,0
18.03.2020,11:03:59,41.14,9,0
18.03.2020,11:04:00,41.14,9,0
18.03.2020,11:04:01,41.14,9,0
18.03.2020,11:04:02,41.14,9,0
18.03.2020,11:04:03,41.14,9,0
18.03.2020,11:04:04,41.14,9,0
18.03.2020,11:04:05,41.14,9,0
18.03.2020,11:04:06,41.14,9,0
18.03.2020,11:04:07,41.14,9,0
18.03.2020,11:04:08,41.14,9,0
18.03.2020,11:04:09,41.14,9,0
18.03.2020,11:04:10,41.14,9,0
18.03.2020,11:04:11,41.14,9,0
18.03.2020,11:04:12,41.14,9,0
18.03.2020,11:04:13,3,9,0
18.03.2020,11:04:14,3,9,0
18.03.2020,11:04:15,3,9,0
18.03.2020,11:04:16,3,9,0
18.03.2020,11:04:17,3,9,0
18.03.2020,11:04:18,3,9,0
18.03.2020,11:04:19,3,9,0
18.03.2020,11:04:20,3,9,0
18.03.2020,11:04:21,3,9,0
18.03.2020,11:04:22,3,9,0
18.03.2020,11:04:23,3,9,0
18.03.2020,11:04:24,3,9,0
18.03.2020,11:04:25,3,9,0
18.03.2020,11:04:26,3,9,0
18.03.2020,11:04:27,3,9,0
18.03.2020,11:04:28,3,9,0
18.03.2020,11:04:29,3,9,0
18.03.2020,11:04:30,3,9,0
18.03.2020,11:04:31,3,9,0
18.03.2020,11:04:32,3,9,0
18.03.2020,11:04:33,3,9,0
18.03.2020,11:04:34,3,9,0
18.03.2020,11:04:35,3,9,0
18.03.2020,11:04:36,3,9,0
18.03.2020,11:04:37,3,9,0
18.03.2020,11:04:38,3,9,0
18.03.2020,11:04:39,3,9,0
18.03.2020,11:04:40,3,9,0
18.03.2020,11:04:41,3,6.8,0
18.03.2020,11:04:42,3,5,0
18.03.2020,11:04:43,3,5,0
18.03.2020,11:04:44,3,5,0
18.03.2020,11:04:45,3,5,0
18.03.2020,11:04:46,3,5,0
18.03.2020,11:04:47,3,5,0
18.03.2020,11:04:48,3,5,0
18.03.2020,11:04:49,3,5,0
18.03.2020,11:04:50,3,5,0
18.03.2020,11:04:51,3,5,0
18.03.2020,11:04:52,3,5,0
18.03.2020,11:04:53,3,5,0
18.03.2020,11:04:54,3,5,0
18.03.2020,11:04:55,3,5,0
18.03.2020,11:04:56,3,5,0
18.03.2020,11:04:57,3,5,0
18.03.2020,11:04:58,3,5,0
18.03.2020,11:04:59,3,5,0
18.03.2020,11:05:00,3,5,0
18.03.2020,11:05:01,3,5,0
18.03.2020,11:05:02,3,5,0
18.03.2020,11:05:03,3,5,0
18.03.2020,11:05:04,3,5,0
18.03.2020,11:05:05,3,5,0
18.03.2020,11:05:06,3,5,0
18.03.2020,11:05:07,0,5,1
18.03.2020,11:05:08,0,5,1
18.03.2020,11:05:09,0,5,1
18.03.2020,11:05:10,0,5,1
18.03.2020,11:05:11,0,5,1
18.03.2020,11:05:12,0,5,1
18.03.2020,11:05:13,0,5,1
18.03.2020,11:05:14,0,5,1
18.03.2020,11:05:15,0,5,1
18.03.2020,11:05:16,0,5,1
18.03.2020,11:05:17,0,5,1
18.03.2020,11:05:18,0,5,1
18.03.2020,11:05:19,0,5,1
18.03.2020,11:05:20,0,5,1
18.03.2020,11:05:21,0,5,1
18.03.2020,11:05:22,0,5,1
18.03.2020,11:05:23,0,5,1
18.03.2020,11:05:24,0,5,1
18.03.2020,11:05:25,0,5,1
18.03.2020,11:05:26,0,5,1
18.03.2020,11:05:27,0,5,1
18.03.2020,11:05:28,0,5,1
18.03.2020,11:05:29,0,5,1
18.03.2020,11:05:30,0,5,1
18.03.2020,11:05:31,0,5,1
18.03.2020,11:05:32,0,5,1
18.03.2020,11:05:33,0,5,1
18.03.2020,11:05:34,0,5,1
18.03.2020,11:05:35,0,5,1
18.03.2020,11:05:36,0,5,1
18.03.2020,11:05:37,0,5,1
18.03.2020,11:05:38,0,5,1
18.03.2020,11:05:39,0,5,1
18.03.2020,11:05:40,0,5,1
18.03.2020,11:05:41,0,5,1
18.03.2020,11:05:42,0,5,1
18.03.2020,11:05:43,0,4,1
18.03.2020,11:05:44,0,4,1
18.03.2020,11:05:45,0,4,1
18.03.2020,11:05:46,0,4,1
18.03.2020,11:05:47,0,4,1
18.03.2020,11:05:48,0,4,1
18.03.2020,11:05:49,0,4,1
18.03.2020,11:05:50,0,4,1
18.03.2020,11:05:51,0,4,1
18.03.2020,11:05:52,0,4,1
18.03.2020,11:05:53,0,4,1
18.03.2020,11:05:54,0,4,0
18.03.2020,11:05:55,0,4,0
18.03.2020,11:05:56,0,4,0
18.03.2020,11:05:57,0,4,0
18.03.2020,11:05:58,0,4,0
18.03.2020,11:05:59,0,4,0
18.03.2020,11:06:00,0,4,0
18.03.2020,11:06:01,0,4,0
18.03.2020,11:06:02,0,4,0
18.03.2020,11:06:03,0,3.9,0
18.03.2020,11:06:04,0,4,0
18.03.2020,11:06:05,0,4,0
18.03.2020,11:06:06,0,4,0
18.03.2020,11:06:07,0,4,0
18.03.2020,11:06:08,0,4,0
18.03.2020,11:06:09,0,4,0
18.03.2020,11:06:10,0,4,0
18.03.2020,11:06:11,0,4,0
18.03.2020,11:06:12,0,4,0
18.03.2020,11:06:13,0,4,0
18.03.2020,11:06:14,0,4,0
18.03.2020,11:06:15,0,4,0
18.03.2020,11:06:16,0,4,0
18.03.2020,11:06:17,0,4,0
18.03.2020,11:06:18,0,4,0
18.03.2020,11:06:19,0,4,0
18.03.2020,11:06:20,0,4,0
18.03.2020,11:06:21,0,4,0
18.03.2020,11:06:22,0,4,0
18.03.2020,11:06:23,0,4,0
18.03.2020,11:06:24,0,4,0
18.03.2020,11:06:25,0,4,0
18.03.2020,11:06:26,0,4,0
18.03.2020,11:06:27,0,4,0
18.03.2020,11:06:28,0,3.9,0
18.03.2020,11:06:29,0,4,0
18.03.2020,11:06:30,0,4,0
18.03.2020,11:06:31,0,4,0
18.03.2020,11:06:32,0,4,0
18.03.2020,11:06:33,0,4,0
18.03.2020,11:06:34,0,4,0
18.03.2020,11:06:35,0,4,0
18.03.2020,11:06:36,0,4,0
18.03.2020,11:06:37,0,4,0
18.03.2020,11:06:38,0,4,0
18.03.2020,11:06:39,0,4,0
18.03.2020,11:06:40,0,4,0
18.03.2020,11:06:41,0,4,0
18.03.2020,11:06:42,0,3.9,0
18.03.2020,11:06:43,0,4,0
18.03.2020,11:06:44,0,4,0
18.03.2020,11:06:45,0,4,0
18.03.2020,11:06:46,0,4,0
18.03.2020,11:06:47,0,4,0
18.03.2020,11:06:48,0,4,0
18.03.2020,11:06:49,0,4,0
18.03.2020,11:06:50,0,4,0
18.03.2020,11:06:51,0,4,0
18.03.2020,11:06:52,0,4,0
18.03.2020,11:06:53,0,4,0
18.03.2020,11:06:54,0,4,0
18.03.2020,11:06:55,0,4,0
18.03.2020,11:06:56,0,4,0
18.03.2020,11:06:57,0,4,0
18.03.2020,11:06:58,0,4,0
18.03.2020,11:06:59,0,4,0
18.03.2020,11:07:00,0,4,0
18.03.2020,11:07:01,0,4,0
18.03.2020,11:07:02,0,4,0
18.03.2020,11:07:03,0,4,0
18.03.2020,11:07:04,0,4,0
18.03.2020,11:07:05,0,4,0
18.03.2020,11:07:06,0,4,0
18.03.2020,11:07:07,0,4,0
18.03.2020,11:07:08,0,4,0
18.03.2020,11:07:09,0,3.9,0
18.03.2020,11:07:10,0,4,0
18.03.2020,11:07:11,0,4,0
18.03.2020,11:07:12,0,4,0
18.03.2020,11:07:13,0,4,0
18.03.2020,11:07:14,0,4,0
18.03.2020,11:07:15,0,4,0
18.03.2020,11:07:16,0,4,0
18.03.2020,11:07:17,0,4,0
18.03.2020,11:07:18,0,4,0
18.03.2020,11:07:19,0,4,0
18.03.2020,11:07:20,0,4,0
18.03.2020,11:07:21,0,4,0
18.03.2020,11:07:22,0,4,0
18.03.2020,11:07:23,0,4,0
18.03.2020,11:07:24,0,4,0
18.03.2020,11:07:25,0,4,0
18.03.2020,11:07:26,0,4,0
18.03.2020,11:07:27,0,4,0
18.03.2020,11:07:28,0,4,0
18.03.2020,11:07:29,0,4,0
18.03.2020,11:07:30,0,4,0
18.03.2020,11:07:31,0,4,0
18.03.2020,11:07:32,0,4,0
18.03.2020,11:07:33,0,4,0
18.03.2020,11:07:34,0,4,0
18.03.2020,11:07:35,0,4,0
18.03.2020,11:07:36,0,4,0
18.03.2020,11:07:37,0,4,0
18.03.2020,11:07:38,0,4,0
18.03.2020,11:07:39,0,4,0
18.03.2020,11:07:40,0,4,1
18.03.2020,11:07:41,0,4,1
18.03.2020,11:07:42,0,4,1
18.03.2020,11:07:43,0,4,1
18.03.2020,11:07:44,0,4,1
18.03.2020,11:07:45,0,4,1
18.03.2020,11:07:46,0,4,0
18.03.2020,11:07:47,0,4,0
18.03.2020,11:07:48,0,4,0
18.03.2020,11:07:49,0,4,0
18.03.2020,11:07:50,0,4,0
18.03.2020,11:07:51,0,4,0
18.03.2020,11:07:52,0,4,0
18.03.2020,11:07:53,0,4,0
18.03.2020,11:07:54,0,4,0
18.03.2020,11:07:55,0,4,0
18.03.2020,11:07:56,0,4,0
18.03.2020,11:07:57,0,4,0
18.03.2020,11:07:58,0,4,0
18.03.2020,11:07:59,0,4,0
18.03.2020,11:08:00,0,4,0
18.03.2020,11:08:01,0,4,0
18.03.2020,11:08:02,0,4,0
18.03.2020,11:08:03,0,4,0
18.03.2020,11:08:04,0,4,0
18.03.2020,11:08:05,0,4,0
18.03.2020,11:08:06,0,4,0
18.03.2020,11:08:07,0,3.9,0
18.03.2020,11:08:08,0,4,0
18.03.2020,11:08:09,0,4,0
18.03.2020,11:08:10,0,4,0
18.03.2020,11:08:11,0,4,0
18.03.2020,11:08:12,0,4,0
18.03.2020,11:08:13,0,4,0
18.03.2020,11:08:14,0,4,0
18.03.2020,11:08:15,0,4,0
18.03.2020,11:08:16,0,4,0
18.03.2020,11:08:17,0,4,0
18.03.2020,11:08:18,0,4,0
18.03.2020,11:08:19,41.07,4,0
18.03.2020,11:08:20,41.07,4,0
18.03.2020,11:08:21,41.07,4,0
18.03.2020,11:08:22,41.07,4,0
18.03.2020,11:08:23,41.07,4,0
18.03.2020,11:08:24,41.07,4,0
18.03.2020,11:08:25,41.07,4,0
18.03.2020,11:08:26,41.07,4,0
18.03.2020,11:08:27,41.07,4,0
18.03.2020,11:08:28,41.07,4,0
18.03.2020,11:08:29,41.07,4,0
18.03.2020,11:08:30,41.07,4,0
18.03.2020,11:08:31,41.07,4,0
18.03.2020,11:08:32,41.07,4,0
18.03.2020,11:08:33,41.07,4,0
18.03.2020,11:08:34,41.07,4,0
18.03.2020,11:08:35,41.07,4,0
18.03.2020,11:08:36,41.07,4,0
18.03.2020,11:08:37,41.07,4,0
18.03.2020,11:08:38,41.07,4,0
18.03.2020,11:08:39,41.07,4,0
18.03.2020,11:08:40,41.07,4,0
18.03.2020,11:08:41,41.07,4,0
18.03.2020,11:08:42,41.07,4,0
18.03.2020,11:08:43,41.07,4,0
18.03.2020,11:08:44,41.07,4,0
18.03.2020,11:08:45,41.07,4,0
18.03.2020,11:08:46,41.07,4,0
18.03.2020,11:08:47,41.07,4,0
18.03.2020,11:08:48,41.07,4,0
18.03.2020,11:08:49,41.07,4,0
18.03.2020,11:08:50,41.07,4,0
18.03.2020,11:08:51,41.07,4,0
18.03.2020,11:08:52,41.07,4,0
18.03.2020,11:08:53,41.07,4,0
18.03.2020,11:08:54,41.07,4,0
18.03.2020,11:08:55,41.07,4,0
18.03.2020,11:08:56,41.07,3.9,0
18.03.2020,11:08:57,41.07,4,0
18.03.2020,11:08:58,41.07,4,0
18.03.2020,11:08:59,41.07,4,0
18.03.2020,11:09:00,41.07,4,0
18.03.2020,11:09:01,41.07,4,0
18.03.2020,11:09:02,41.07,4,0
18.03.2020,11:09:03,41.07,4,0
18.03.2020,11:09:04,41.07,4,0
18.03.2020,11:09:05,41.07,4,0
18.03.2020,11:09:06,41.07,4,0
18.03.2020,11:09:07,41.07,4,0
18.03.2020,11:09:08,41.07,4,0
18.03.2020,11:09:09,41.07,4,0
18.03.2020,11:09:10,41.07,4,0
18.03.2020,11:09:11,41.07,4,0
18.03.2020,11:09:12,41.07,4,0
18.03.2020,11:09:13,41.07,4,0
18.03.2020,11:09:14,41.07,4,0
